target_pnc;target_name;first-association;count-per-first-association;all-associations;count-per-association;total-count-associations;perception;perception-median;perception-avg;age;percentage-known;cleaned-first;cleaned-associations;annotator_count;all_ages;origin
Masken-Merkel;Angela Merkel;['pandemie', 'vorsichtig', 'bundeskanzlerin', 'ehemalige bundeskanzlerin', 'europa-maske'];[2, 1, 1, 1, 1];['pandemie', 'vorsichtig', 'verantwortungsvoll', 'gesichtsmasken', 'kein krisenmanagement', 'bundeskanzlerin', 'corona', 'maskenpflicht', 'ehemalige bundeskanzlerin', 'covid', 'maßnahmen', 'ffp2', 'europa-maske', 'reiner haseloff', 'anti-maske', 'schutzmaßnahmen', 'krisenmanagement', 'öffentliche gesundheitspolitik'];[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];18;[2.0, 1.0, nan, 2.0, 3.0, 2.0];;;['20-29', '30-39', '60-69', '30-39', '20-29', '30-39'];40;['vorsichtig', 'pandemie', 'bundeskanzlerin', 'ehemalige bundeskanzlerin', 'europa-maske', 'pandemie'];[['vorsichtig', 'verantwortungsvoll'], ['pandemie', 'gesichtsmasken', 'kein krisenmanagement'], ['bundeskanzlerin', 'corona', 'maskenpflicht'], ['ehemalige bundeskanzlerin', 'covid', 'maßnahmen', 'ffp2'], ['europa-maske', 'reiner haseloff', 'anti-maske'], ['pandemie', 'schutzmaßnahmen', 'krisenmanagement', 'öffentliche gesundheitspolitik']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Maskendeal-Spahn;Jens Spahn;['corona', 'ist korrupt', 'cdu-politiker', 'gesundheitsminister', 'cdu', 'einkauf von teuren masken'];[6, 1, 1, 1, 1, 1];['corona', 'gesundheitsminister', 'ist korrupt', 'manipulativ', 'verschleiert seine korruption', 'cdu-politiker', 'ehemaliger gesundheitsminister', 'musste corona bewältigen', 'maskenaffäre', 'betrug', 'immobilien', 'vetternwirtschaft', 'materialbeschaffung', 'kauf defekter masken', 'kauf überteuerter masken', 'korruption', 'provision', 'geld', 'verzeihen', 'cdu', 'masken', 'einkauf von teuren masken', 'qualitätsmangel', 'hoher geldverlust', 'unbrauchbar'];[6, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];25;[5.0, 2.0, 2.0, 3.0, 4.0, 4.0, 5.0, nan, 1.0, 4.0, 4.0];4;;['30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '40-49', '30-39', '50-59', '60-69', '70+'];73.33333333;['ist korrupt', 'cdu-politiker', 'gesundheitsminister', 'corona', 'corona', 'corona', 'corona', 'corona', 'corona', 'cdu', 'einkauf von teuren masken'];[['ist korrupt', 'manipulativ', 'verschleiert seine korruption'], ['cdu-politiker', 'ehemaliger gesundheitsminister'], ['gesundheitsminister', 'musste corona bewältigen'], ['corona', 'gesundheitsminister', 'maskenaffäre', 'betrug'], ['corona', 'immobilien', 'vetternwirtschaft'], ['corona', 'materialbeschaffung'], ['corona', 'kauf defekter masken', 'kauf überteuerter masken', 'korruption'], ['corona', 'provision', 'geld'], ['corona', 'verzeihen'], ['cdu', 'gesundheitsminister', 'masken'], ['einkauf von teuren masken', 'qualitätsmangel', 'hoher geldverlust', 'unbrauchbar']];15;['20-29', '30-39', '30-39', '30-39', '40-49', '50-59', '40-49', '30-39', '40-49', '30-39', '50-59', '60-69', '70+', '20-29', '50-59'];prolific
Maut-Dobrindt;Alexander Dobrindt;['csu', 'autobahnmaut', 'maut', 'umstritten', 'pkw-maut'];[2, 1, 1, 1, 1];['csu', 'autobahnmaut', 'geldverschwendung', 'lobbyismus', 'maut', 'verkehrsminister', 'kontrovers', 'ignorant', 'von sich überzeugt', 'schaden für die gemeinschaft', 'ehemaliger verkehrsminister', 'lkw-maut', 'merkel', 'umstritten', 'politisch', 'verkehrsmaut', 'öffentliche wahrnehmung', 'pkw-maut', 'bundesverkehrsminister', 'scheitern der pkw-maut'];[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];20;[5.0, 1.0, 4.0, 3.0, 4.0, 3.0];3.5;3.333333333;['30-39', '30-39', '60-69', '30-39', '30-39', '20-29'];40;['autobahnmaut', 'maut', 'csu', 'csu', 'umstritten', 'pkw-maut'];[['autobahnmaut', 'geldverschwendung', 'lobbyismus'], ['maut', 'verkehrsminister', 'kontrovers'], ['csu', 'ignorant', 'von sich überzeugt', 'schaden für die gemeinschaft'], ['csu', 'ehemaliger verkehrsminister', 'lkw-maut', 'merkel'], ['umstritten', 'politisch', 'verkehrsmaut', 'öffentliche wahrnehmung'], ['pkw-maut', 'bundesverkehrsminister', 'scheitern der pkw-maut']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
McKinsey-Leyen;Ursula von der Leyen;['berater', 'unternehmensberatung', 'eu', 'berufliche verbindung', 'berufliche verbindung zu mckinsey und company'];[1, 1, 1, 1, 1];['europäische kommission', 'berater', 'verschwendung', 'inkompetenz', 'politiker', 'unternehmensberatung', 'politik', 'karriereverlauf', 'eu', 'präsidentin', 'merkel', 'ehemalige familienministerin', 'ehemalige verteidigungsministerin', 'berufliche verbindung', 'wirtschaftsberatung', 'eu-kommission', 'politische karriere', 'berufliche verbindung zu mckinsey und company', 'kontroverse um die einbindung von unternehmensberatern in die politik'];[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];19;[5.0, 2.0, 4.0, 2.0, 2.0];2;3;['30-39', '30-39', '30-39', '30-39', '30-39'];33.33333333;['berater', 'unternehmensberatung', 'eu', 'berufliche verbindung', 'berufliche verbindung zu mckinsey und company'];[['berater', 'verschwendung', 'inkompetenz', 'politiker'], ['unternehmensberatung', 'politik', 'karriereverlauf'], ['eu', 'präsidentin', 'europäische kommission', 'merkel', 'ehemalige familienministerin', 'ehemalige verteidigungsministerin'], ['berufliche verbindung', 'wirtschaftsberatung', 'eu-kommission', 'politische karriere'], ['berufliche verbindung zu mckinsey und company', 'kontroverse um die einbindung von unternehmensberatern in die politik', 'europäische kommission']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Meineid-Gauland;Alexander Gauland;['afd', 'falschaussage', 'lügner', 'afd-politiker', 'afd-vorsitzender'];[2, 1, 1, 1, 1];['afd', 'falschaussage', 'strafrechtlich verfolgt', 'rechtspopulistisch', 'lügner', 'nationalist', 'extremist', 'menschenfeind', 'autokrat', 'ex-cdu', 'nazi im zwirn', 'vogelschiss der geschichte', 'afd-politiker', 'früher cdu', 'hessen', 'versetzung', 'afd-vorsitzender', 'mitglied des bundestages', 'falscher meineid wurde abgegeben'];[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];19;[5.0, 4.0, 5.0, 5.0, 5.0, 3.0];5;4.5;['30-39', '40-49', '40-49', '30-39', '50-59', '30-39'];40;['falschaussage', 'lügner', 'afd', 'afd', 'afd-politiker', 'afd-vorsitzender'];[['falschaussage', 'strafrechtlich verfolgt', 'rechtspopulistisch', 'afd'], ['lügner', 'nationalist', 'extremist'], ['afd', 'menschenfeind', 'autokrat'], ['afd', 'ex-cdu', 'nazi im zwirn', 'vogelschiss der geschichte'], ['afd-politiker', 'früher cdu', 'hessen', 'versetzung'], ['afd-vorsitzender', 'mitglied des bundestages', 'falscher meineid wurde abgegeben']];15;['30-39', '40-49', '40-49', '30-39', '40-49', '40-49', '30-39', '30-39', '50-59', '30-39', '60-69', '50-59', '30-39', '20-29', '30-39'];prolific
Meineid-Kohl;Helmut Kohl;['spendenaffaire', 'cdu', 'spendenaffäre cdu', 'rechtliche kontroversen', 'politische kontroverse um illegale parteispenden'];[1, 1, 1, 1, 1];['spendenaffaire', 'wiedervereinigung', 'bundeskanzler', 'cdu', 'ehemaliger bundeskanzler', 'spendenaffäre', 'spendenaffäre cdu', 'schwarzgeld', 'spenden', 'rechtliche kontroversen', 'politische skandale', 'gerichtsverfahren', 'deutsche politikgeschichte', 'politische kontroverse um illegale parteispenden', 'gerichtsverfahren wegen falscher eidesstattlicher versicherungen', 'diskussionen über politische integrität', 'diskussionen über ethik'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];17;[3.0, 2.0, 3.0, 2.0, 4.0];3;2.8;['60-69', '30-39', '20-29', '30-39', '30-39'];33.33333333;['spendenaffaire', 'cdu', 'spendenaffäre cdu', 'rechtliche kontroversen', 'politische kontroverse um illegale parteispenden'];[['spendenaffaire', 'wiedervereinigung', 'bundeskanzler'], ['cdu', 'ehemaliger bundeskanzler', 'spendenaffäre'], ['spendenaffäre cdu', 'schwarzgeld', 'spenden'], ['rechtliche kontroversen', 'politische skandale', 'gerichtsverfahren', 'deutsche politikgeschichte'], ['politische kontroverse um illegale parteispenden', 'gerichtsverfahren wegen falscher eidesstattlicher versicherungen', 'diskussionen über politische integrität', 'diskussionen über ethik']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Meineid-Petry;Frauke Petry;['rechts', 'redet viel zu viel und zu schnell', 'politikerin'];[1, 1, 1];['rechts', 'afd', 'ausgetreten', 'redet viel zu viel und zu schnell', 'wirkt gebildet aber ist eigentlich pleite', 'politikerin', 'interessenkonflikt', 'streit', 'bruch', 'lüge'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1];10;[5.0, 4.0, 2.0];4;3.666666667;['40-49', '40-49', '30-39'];20;['rechts', 'redet viel zu viel und zu schnell', 'politikerin'];[['rechts', 'afd', 'ausgetreten'], ['redet viel zu viel und zu schnell', 'wirkt gebildet aber ist eigentlich pleite'], ['politikerin', 'interessenkonflikt', 'streit', 'bruch', 'lüge']];15;['30-39', '60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];prolific
Microsoft-Gates;Bill Gates;['windows', 'microsoft', 'microsoft-gründer', 'computer', 'gründer microsoft', 'besitzer von microsoft', 'hat microsoft erfunden', 'erfinder', 'erster personal computer', 'software', 'amerikaner', 'monopol'];[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1];['milliardär', 'windows', 'monopol', 'microsoft-gründer', 'computer', 'reich', 'verschwörungstheorien', 'microsoft', 'software', 'gründer microsoft', 'früherer microsoft-chef', 'monopolstellung', 'besitzer von microsoft', 'privatsphäre', 'wintel', 'teure software', 'kapitalist', 'ungleichheit', 'hat microsoft erfunden', 'doch ganz nett', 'intelligent', 'computerprogramme', 'erfinder', 'computer-software', 'philanthrop', 'billionär', 'erster personal computer', 'bill and melinda gates-stiftung', 'gründer', 'einflussreich', 'bekannt', 'mächtig', 'unternehmen', 'erfolgreich', 'amerikaner', 'stiftung', 'computer-betriebsystem'];[6, 5, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];37;[2, 2, 2, 3, 3, 3, 1, 2, 1, 2, 1, 3, 3, 1, 5];2;2.266666667;['30-39', '60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];100;['computer', 'windows', 'gründer microsoft', 'besitzer von microsoft', 'windows', 'microsoft', 'hat microsoft erfunden', 'microsoft-gründer', 'erfinder', 'microsoft-gründer', 'erster personal computer', 'microsoft', 'software', 'amerikaner', 'monopol'];[['computer', 'reich', 'windows'], ['windows', 'milliardär', 'verschwörungstheorien'], ['gründer microsoft', 'früherer microsoft-chef', 'monopolstellung'], ['besitzer von microsoft', 'milliardär', 'privatsphäre'], ['windows', 'wintel', 'monopol', 'teure software'], ['microsoft', 'kapitalist', 'windows', 'ungleichheit'], ['hat microsoft erfunden', 'reich', 'doch ganz nett'], ['microsoft-gründer', 'milliardär', 'intelligent', 'computerprogramme'], ['erfinder', 'software', 'computer', 'milliardär', 'monopol'], ['microsoft-gründer', 'computer-software', 'windows', 'philanthrop', 'billionär'], ['erster personal computer', 'bill and melinda gates-stiftung', 'verschwörungstheorien'], ['microsoft', 'gründer', 'einflussreich', 'bekannt', 'mächtig'], ['software', 'unternehmen', 'erfolgreich'], ['amerikaner', 'microsoft-gründer', 'milliardär'], ['monopol', 'stiftung', 'computer-betriebsystem', 'milliardär']];15;['30-39', '60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];prolific
Migranten-Merkel;Angela Merkel;['wir schaffen das', 'flüchtlingskrise', 'lässt alle rein', 'derogative beschreibung der rechten', 'flüchtlingskriese', 'offene grenzen', 'kanzlerin', 'bundeskanzlerin', 'schlechte migrationspolitik', 'kanzler'];[3, 2, 1, 1, 1, 1, 1, 1, 1, 1];['wir schaffen das', 'cdu', 'bundeskanzlerin', 'flüchtlingskrise', 'lässt alle rein', 'kann nur plattitüden verwenden', 'überfordert', 'derogative beschreibung der rechten', '2016', 'lügnerin', 'schande', 'flüchtlingskriese', 'syrien', 'offene grenzen', 'aufnahme von migranten', 'flüchtlingspolitik', 'grenzöffnung', 'ungarn', 'humanität', 'kanzlerin', 'grenzen wurden nicht dicht gemacht', 'schlechte migrationspolitik', 'zu lässig', 'schlechte planung', 'flüchtlinge', 'kanzler', 'stur', 'zuvorkommend'];[7, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];28;[5.0, 1.0, nan, 2.0, 2.0, 1.0, 3.0, 2.0, 1.0, 5.0, 2.0, 2.0, 3.0];3;;['30-39', '20-29', '50-59', '30-39', '20-29', '30-39', '20-29', '30-39', '20-29', '30-39', '20-29', '40-49', '30-39'];81.25;['lässt alle rein', 'derogative beschreibung der rechten', 'wir schaffen das', 'flüchtlingskriese', 'offene grenzen', 'flüchtlingskrise', 'flüchtlingskrise', 'kanzlerin', 'bundeskanzlerin', 'wir schaffen das', 'schlechte migrationspolitik', 'wir schaffen das', 'kanzler'];[['lässt alle rein', 'kann nur plattitüden verwenden', 'überfordert'], ['derogative beschreibung der rechten', 'wir schaffen das', '2016'], ['wir schaffen das', 'lügnerin', 'schande'], ['flüchtlingskriese', 'cdu', 'syrien', 'bundeskanzlerin'], ['offene grenzen', 'aufnahme von migranten', 'flüchtlingspolitik'], ['flüchtlingskrise', 'grenzöffnung', 'ungarn', 'humanität'], ['flüchtlingskrise', 'wir schaffen das', 'cdu'], ['kanzlerin', 'wir schaffen das'], ['bundeskanzlerin', 'wir schaffen das', 'grenzen wurden nicht dicht gemacht'], ['wir schaffen das'], ['schlechte migrationspolitik', 'zu lässig', 'schlechte planung'], ['wir schaffen das', 'flüchtlinge', 'cdu'], ['kanzler', 'stur', 'zuvorkommend']];16;['30-39', '30-39', '20-29', '50-59', '30-39', '20-29', '30-39', '30-39', '20-29', '30-39', '20-29', '30-39', '20-29', '40-49', '30-39', '60-69'];prolific
Mini-Merkel;Angela Merkel;['kleine größe', 'cdu', '163 cm', 'politikerin', 'bundeskanzlerin'];[1, 1, 1, 1, 1];['bundeskanzlerin', 'kleine größe', 'nicht viel macht', 'cdu', 'neoliberal', 'hausfrau', '163 cm', 'kanzlerin', 'leise töne', 'politikerin', 'ehemalige bundeskanzlerin', 'stur', 'unbiegbar', 'deutschland', 'schwach', 'nachgiebig', 'charakterlos'];[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];17;[1.0, 5.0, 0.0, 4.0, 4.0];4;2.8;['20-29', '40-49', '40-49', '30-39', '30-39'];33.33333333;['kleine größe', 'cdu', '163 cm', 'politikerin', 'bundeskanzlerin'];[['kleine größe', 'nicht viel macht', 'bundeskanzlerin'], ['cdu', 'bundeskanzlerin', 'neoliberal', 'hausfrau'], ['163 cm', 'kanzlerin', 'leise töne'], ['politikerin', 'ehemalige bundeskanzlerin', 'stur', 'unbiegbar'], ['bundeskanzlerin', 'deutschland', 'schwach', 'nachgiebig', 'charakterlos']];15;['30-39', '60-69', '40-49', '20-29', '50-59', '40-49', '40-49', '40-49', '30-39', '20-29', '30-39', '30-39', '20-29', '20-29', '20-29'];prolific
Mischpoke-Özdemir;Cem Özdemir;['die grünen', 'negativ', 'der spitzname könnte darauf hinweisen dass cem özdemir als politiker eine weniger formelle und lockerere seite hat die er selbst nicht scheut zu zeigen', 'neutral', 'grün', 'landwirtschaftsminister', 'kreativ', 'pegida'];[2, 1, 1, 1, 1, 1, 1, 1];['die grünen', 'minister', 'negativ', 'rassistisch', 'türkei', 'der spitzname könnte darauf hinweisen dass cem özdemir als politiker eine weniger formelle und lockerere seite hat die er selbst nicht scheut zu zeigen', 'neutral', 'grün', 'türkisch', 'politik', 'landwirtschaftsminister', 'flugmeilenaffäre', 'türkische wurzeln', 'grundgesetztreu', 'ehemaliger parteivorsitz', 'kreativ', 'ungewöhnlich', 'humorvoll', 'informell', 'demo', 'bauern', 'türke', 'pegida', 'bündnis 90/die grünen', 'afd'];[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];25;[1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 4.0, 2.0, 5.0];2;2.444444444;['30-39', '50-59', '20-29', '30-39', '60-69', '30-39', '30-39', '40-49', '20-29'];60;['negativ', 'der spitzname könnte darauf hinweisen dass cem özdemir als politiker eine weniger formelle und lockerere seite hat die er selbst nicht scheut zu zeigen', 'neutral', 'grün', 'landwirtschaftsminister', 'die grünen', 'kreativ', 'die grünen', 'pegida'];[['negativ', 'rassistisch', 'türkei'], ['der spitzname könnte darauf hinweisen dass cem özdemir als politiker eine weniger formelle und lockerere seite hat die er selbst nicht scheut zu zeigen'], ['neutral'], ['grün', 'türkisch', 'politik'], ['landwirtschaftsminister', 'flugmeilenaffäre', 'türkische wurzeln', 'grundgesetztreu'], ['die grünen', 'minister', 'ehemaliger parteivorsitz'], ['kreativ', 'ungewöhnlich', 'humorvoll', 'informell'], ['die grünen', 'demo', 'bauern', 'minister', 'türke'], ['pegida', 'bündnis 90/die grünen', 'afd']];15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Moslem-Obama;Barack Obama;"['baracks name', 'muslim', 'der begriff ""moslem-obama"" könnte auf falsche informationen oder vorurteile hindeuten die während seiner präsidentschaft über seine religiöse zugehörigkeit verbreitet wurden', 'vorurteil', 'ehemaliger us-präsident', 'präsident', 'us-präsident', 'religion', 'afroamerikanisch']";[1, 1, 1, 1, 1, 1, 1, 1, 1];"['präsident', 'baracks name', 'politiker', 'geburtszertifikat', 'muslim', 'der begriff ""moslem-obama"" könnte auf falsche informationen oder vorurteile hindeuten die während seiner präsidentschaft über seine religiöse zugehörigkeit verbreitet wurden', 'vorurteil', 'ehemaliger us-präsident', 'dunkle hautfarbe', 'muslimischer bruder', 'foto', 'amerika', 'redebeiträge', 'us-präsident', 'erster schwarzer präsident', 'vater muslim', 'charisma', 'krieg', 'religion', 'neutral zur religion', 'vater war muslim', 'afroamerikanisch', 'muslimische familie']";[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];23;[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 2.0];1;1;['30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '30-39', '20-29', '40-49'];60;"['baracks name', 'muslim', 'der begriff ""moslem-obama"" könnte auf falsche informationen oder vorurteile hindeuten die während seiner präsidentschaft über seine religiöse zugehörigkeit verbreitet wurden', 'vorurteil', 'ehemaliger us-präsident', 'präsident', 'us-präsident', 'religion', 'afroamerikanisch']";"[['baracks name', 'politiker', 'geburtszertifikat'], ['muslim', 'präsident'], ['der begriff ""moslem-obama"" könnte auf falsche informationen oder vorurteile hindeuten die während seiner präsidentschaft über seine religiöse zugehörigkeit verbreitet wurden'], ['vorurteil'], ['ehemaliger us-präsident', 'dunkle hautfarbe', 'muslimischer bruder', 'foto'], ['präsident', 'amerika', 'redebeiträge'], ['us-präsident', 'erster schwarzer präsident', 'vater muslim', 'charisma', 'krieg'], ['religion', 'neutral zur religion', 'vater war muslim'], ['afroamerikanisch', 'muslimische familie', 'präsident']]";15;['30-39', '30-39', '20-29', '50-59', '20-29', '0-19', '30-39', '60-69', '30-39', '20-29', '30-39', '40-49', '30-39', '30-39', '20-29'];prolific
Mutter-Seehofer;Horst Seehofer;['er wollte die mutti beerben', 'mutter', 'bayern', 'csu'];[1, 1, 1, 1];['csu', 'er wollte die mutti beerben', 'hat sich über angela merkel beschwert', 'nerviger typ', 'mutter', 'probleme', 'bayern', 'rechts', 'nervig', 'inkompetent'];[2, 1, 1, 1, 1, 1, 1, 1, 1, 1];10;[5.0, 4.0, 3.0, 5.0];4.5;4.25;['20-29', '20-29', '40-49', '30-39'];25;['er wollte die mutti beerben', 'mutter', 'bayern', 'csu'];[['er wollte die mutti beerben', 'hat sich über angela merkel beschwert', 'nerviger typ'], ['mutter', 'probleme'], ['bayern', 'csu', 'rechts'], ['csu', 'nervig', 'inkompetent']];16;['30-39', '30-39', '20-29', '50-59', '30-39', '20-29', '30-39', '30-39', '20-29', '30-39', '20-29', '30-39', '20-29', '40-49', '30-39', '60-69'];prolific
Möbelhaus-Laschet;Armin Laschet;['flutkatasprophe ahrtahl', 'nrw', 'hat sich mit einem lachanfall die wahl versaut', 'kritik', 'kanzlerkanditat', 'ehemaliger ministerpräsident nordrhein-westfalens'];[1, 1, 1, 1, 1, 1];['flutkatasprophe ahrtahl', 'sein sohn ist vertriebler eventuell im möbelhaus', 'nrw', 'küchenbauer', 'neu-eröffnungen', 'hat sich mit einem lachanfall die wahl versaut', 'kritik', 'fragwürdige entscheidungen', 'kanzlerkanditat', 'flutkatastrophe', 'lachen', 'ehemaliger ministerpräsident nordrhein-westfalens', 'hambacher forst', 'covid-einschränkungen'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];14;[3.0, 5.0, 2.0, 2.0, 2.0, 2.0];2;2.666666667;['20-29', '30-39', '30-39', '20-29', '40-49', '60-69'];37.5;['flutkatasprophe ahrtahl', 'nrw', 'hat sich mit einem lachanfall die wahl versaut', 'kritik', 'kanzlerkanditat', 'ehemaliger ministerpräsident nordrhein-westfalens'];[['flutkatasprophe ahrtahl', 'sein sohn ist vertriebler eventuell im möbelhaus'], ['nrw', 'küchenbauer', 'neu-eröffnungen'], ['hat sich mit einem lachanfall die wahl versaut'], ['kritik', 'fragwürdige entscheidungen'], ['kanzlerkanditat', 'flutkatastrophe', 'lachen'], ['ehemaliger ministerpräsident nordrhein-westfalens', 'hambacher forst', 'covid-einschränkungen']];16;['30-39', '30-39', '20-29', '50-59', '30-39', '20-29', '30-39', '30-39', '20-29', '30-39', '20-29', '30-39', '20-29', '40-49', '30-39', '60-69'];prolific
Mövenpick-Westerwelle;Guido Westerwelle;['westerwelle hat für hotels und tourismus lobbyiert oder diese branchen bevorzugt', 'abgehoben', 'freiheit', 'politiker', 'fdp', 'parteivorsitzender'];[1, 1, 1, 1, 1, 1];['fdp', 'westerwelle hat für hotels und tourismus lobbyiert oder diese branchen bevorzugt', 'hat einen mövenpick-stil', 'war sehr schleimig', 'abgehoben', 'porschefahrer', 'sylt-urlauber', 'freiheit', 'sondersteuer', 'hotels', 'krebs', 'politiker', 'spende von mövenpick an die partei', 'homosexuell', 'spenden', 'parteivorsitzender', 'parteispende', 'überheblich'];[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];18;[2.0, 5.0, 1.0, 3.0, 2.0, 4.0];2.5;2.833333333;['20-29', '50-59', '30-39', '20-29', '40-49', '60-69'];37.5;['westerwelle hat für hotels und tourismus lobbyiert oder diese branchen bevorzugt', 'abgehoben', 'freiheit', 'politiker', 'fdp', 'parteivorsitzender'];[['westerwelle hat für hotels und tourismus lobbyiert oder diese branchen bevorzugt', 'hat einen mövenpick-stil', 'war sehr schleimig'], ['abgehoben', 'porschefahrer', 'sylt-urlauber'], ['freiheit', 'sondersteuer', 'hotels', 'fdp', 'krebs'], ['politiker', 'spende von mövenpick an die partei'], ['fdp', 'homosexuell', 'spenden'], ['parteivorsitzender', 'parteispende', 'überheblich']];16;['30-39', '30-39', '20-29', '50-59', '30-39', '20-29', '30-39', '30-39', '20-29', '30-39', '20-29', '30-39', '20-29', '40-49', '30-39', '60-69'];prolific
NATO-Erdogan;Recep Tayyip Erdoğan;['türkei', 'präsident der türkei', 'türkischer präsident', 'militärstrategie', 'nationalist', 'erpressung', 'jan böhmermann-gedicht'];[5, 2, 2, 1, 1, 1, 1];['türkei', 'präsident', 'erpressung', 'türkischer präsident', 'diktator', 'präsident der türkei', 'autokrat', 'schweden', 'militärstrategie', 'kontroversen', 'bündispolitik', 'nationalist', 'islamist', 'undemokratisch', 'kriegstreiber', 'erpressung der nato', 'wichtigtuerei', 'erdogans widerstand gegen den beitritt schwedens zur nato', 'erpressung der nato-mitglieder', 'kurden', 'krieg', 'unterdrückung', 'schwierig', 'last', 'aufrüherisch', 'fundamentalist', 'blockiert nato-beitritt anderer länder', 'autokratisch', 'verklagt kritiker', 'islamische politik', 'finnland', 'überheblich', 'jan böhmermann-gedicht', 'veto', 'koranverbrennung'];[5, 4, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];35;[4, 5, 4, 1, 4, 5, 5, 5, 4, 5, 4, 5, 4];4;4.230769231;['30-39', '40-49', '40-49', '30-39', '40-49', '30-39', '30-39', '50-59', '30-39', '60-69', '50-59', '30-39', '30-39'];86.66666667;['militärstrategie', 'nationalist', 'türkei', 'präsident der türkei', 'türkei', 'türkei', 'erpressung', 'präsident der türkei', 'türkischer präsident', 'türkei', 'türkischer präsident', 'jan böhmermann-gedicht', 'türkei'];[['militärstrategie', 'kontroversen', 'bündispolitik', 'erpressung'], ['nationalist', 'islamist', 'undemokratisch', 'kriegstreiber'], ['türkei', 'präsident', 'erpressung der nato', 'wichtigtuerei', 'diktator'], ['präsident der türkei', 'erdogans widerstand gegen den beitritt schwedens zur nato', 'erpressung der nato-mitglieder'], ['türkei', 'kurden', 'präsident', 'krieg'], ['türkei', 'diktator', 'autokrat', 'unterdrückung'], ['erpressung', 'schwierig', 'last', 'aufrüherisch'], ['präsident der türkei', 'fundamentalist', 'blockiert nato-beitritt anderer länder'], ['türkischer präsident', 'autokratisch', 'verklagt kritiker', 'islamische politik'], ['türkei', 'präsident', 'finnland', 'schweden', 'erpressung'], ['türkischer präsident', 'autokrat', 'überheblich'], ['jan böhmermann-gedicht', 'türkischer präsident'], ['türkei', 'präsident', 'veto', 'schweden', 'koranverbrennung']];15;['30-39', '40-49', '40-49', '30-39', '40-49', '40-49', '30-39', '30-39', '50-59', '30-39', '60-69', '50-59', '30-39', '20-29', '30-39'];prolific
